frequency,x,y,z
1450.3,0.0006,0.0006,0.0062
1456.8,0.0006,0.0005,0.0057
1463.2,0.0006,0.0005,0.0057
1469.7,0.0007,0.0004,0.0071
1476.2,0.0008,0.0004,0.007
1482.7,0.0009,0.0005,0.0053
1489.1,0.001,0.0005,0.0064
1495.6,0.0011,0.0006,0.008
1502.1,0.0011,0.0006,0.0086
1508.6,0.0012,0.0006,0.0092
1515,0.0011,0.0006,0.0077
1521.5,0.0008,0.0005,0.0063
1528,0.0008,0.0005,0.0075
1534.5,0.0014,0.0005,0.0152
1540.9,0.0018,0.0006,0.0159
1547.4,0.001,0.0006,0.0087
1553.9,0.0008,0.0006,0.008
1560.4,0.0007,0.0005,0.0069
1566.8,0.0007,0.0005,0.0068
1573.3,0.0008,0.0005,0.0069
1579.8,0.0007,0.0004,0.0075
1586.3,0.0006,0.0004,0.0068
1592.7,0.0006,0.0004,0.0064
1599.2,0.0005,0.0004,0.0049
1605.7,0.0005,0.0004,0.0039
1612.2,0.0005,0.0004,0.0044
1618.6,0.0005,0.0004,0.0046
1625.1,0.0005,0.0004,0.0039
1631.6,0.0005,0.0004,0.0044
1638.1,0.0005,0.0005,0.005
1644.5,0.0006,0.0004,0.0062
1651,0.0007,0.0004,0.0071
1657.5,0.0007,0.0004,0.0069
1663.9,0.0006,0.0003,0.0061
1670.4,0.0007,0.0003,0.0065
1676.9,0.0008,0.0004,0.007
1683.4,0.0008,0.0005,0.007
1689.8,0.0008,0.0004,0.0066
1696.3,0.0007,0.0004,0.0057
1702.8,0.0009,0.0004,0.0075
1709.3,0.001,0.0005,0.0064
1715.7,0.0009,0.0004,0.0055
1722.2,0.0007,0.0004,0.0046
1728.7,0.0007,0.0003,0.0049
1735.2,0.001,0.0004,0.0054
1741.6,0.0012,0.0004,0.0062
1748.1,0.0011,0.0004,0.0057
1754.6,0.001,0.0004,0.0049
1761.1,0.0012,0.0004,0.0041
1767.5,0.0014,0.0005,0.005
1774,0.0012,0.0004,0.0051
1780.5,0.0012,0.0004,0.0048
1787,0.0012,0.0005,0.0048
1793.4,0.0011,0.0004,0.0046
1799.9,0.001,0.0005,0.0052
1806.4,0.0012,0.0006,0.0058
1812.9,0.0014,0.0006,0.0066
1819.3,0.0014,0.0006,0.0068
1825.8,0.0014,0.0006,0.0075
1832.3,0.0013,0.0006,0.0076
1838.8,0.0012,0.0005,0.0078
1845.2,0.0011,0.0005,0.0067
1851.7,0.001,0.0006,0.0061
1858.2,0.0013,0.0006,0.0065
1864.7,0.0014,0.0006,0.0066
1871.1,0.0012,0.0005,0.0056
1877.6,0.0017,0.0008,0.0064
1884.1,0.0032,0.0013,0.0077
1890.6,0.0021,0.0009,0.0071
1897,0.0012,0.0005,0.0049
1903.5,0.001,0.0005,0.0045
1910,0.0009,0.0006,0.0049
1916.5,0.0009,0.0006,0.0049
1922.9,0.0009,0.0006,0.005
1929.4,0.0007,0.0005,0.0053
1935.9,0.0008,0.0005,0.0065
1942.4,0.0011,0.0004,0.0084
1948.8,0.001,0.0004,0.0093
1955.3,0.0009,0.0005,0.0097
1961.8,0.001,0.0005,0.0092
1968.3,0.001,0.0005,0.0096
1974.7,0.0011,0.0005,0.0101
1981.2,0.0011,0.0006,0.0104
1987.7,0.0013,0.0007,0.012
1994.2,0.0016,0.0007,0.0144
2000.6,0.0019,0.0009,0.0172
2007.1,0.0019,0.001,0.0177
2013.6,0.0019,0.0011,0.0202
2020.1,0.0018,0.001,0.018
2026.5,0.0018,0.001,0.0174
2033,0.0019,0.0011,0.017
2039.5,0.002,0.0012,0.0171
2046,0.0016,0.0012,0.0144
2052.4,0.0014,0.0011,0.0121
2058.9,0.0015,0.0011,0.0109
2065.4,0.0016,0.0011,0.0114
2071.8,0.0014,0.001,0.01
2078.3,0.0013,0.0009,0.0083
2084.8,0.0011,0.0009,0.0066
2091.3,0.001,0.0009,0.0062
2097.7,0.0008,0.0008,0.0051
2104.2,0.0008,0.0008,0.0055
2110.7,0.0008,0.0008,0.0065
2117.2,0.0008,0.0007,0.0059
2123.6,0.0009,0.0007,0.0046
2130.1,0.0009,0.0008,0.0062
2136.6,0.0008,0.0009,0.0064
2143.1,0.0008,0.0008,0.0057
2149.5,0.0007,0.0009,0.0056
2156,0.0007,0.0008,0.0059
2162.5,0.0007,0.0009,0.0059
2169,0.0007,0.0009,0.005
2175.4,0.0006,0.0008,0.0047
2181.9,0.0007,0.0009,0.0048
2188.4,0.0005,0.0008,0.0047
2194.9,0.0006,0.0007,0.0039
2201.3,0.0005,0.0008,0.0047
2207.8,0.0005,0.0009,0.0051
2214.3,0.0005,0.0009,0.0048
2220.8,0.0005,0.001,0.005
2227.2,0.0008,0.0009,0.0058
2233.7,0.0017,0.0009,0.0091
2240.2,0.0013,0.0008,0.0072
2246.7,0.0006,0.0009,0.0049
2253.1,0.0007,0.0008,0.0043
2259.6,0.0008,0.0009,0.0043
2266.1,0.0008,0.001,0.0051
2272.6,0.0007,0.0009,0.0047
2279,0.0007,0.0009,0.0046
2285.5,0.0006,0.001,0.0046
2292,0.0006,0.0009,0.0046
2298.5,0.0007,0.0008,0.004
2304.9,0.0006,0.0008,0.0042
2311.4,0.0007,0.001,0.0046
2317.9,0.0007,0.0011,0.0051
2324.4,0.0007,0.0011,0.0048
2330.8,0.0008,0.0011,0.0049
2337.3,0.0009,0.0012,0.0051
2343.8,0.0011,0.0012,0.0059
2350.3,0.005,0.0016,0.0233
2356.7,0.0077,0.002,0.0356
2363.2,0.0036,0.0014,0.0176
2369.7,0.001,0.0018,0.0065
2376.2,0.001,0.0018,0.0056
2382.6,0.0009,0.0015,0.0044
2389.1,0.0008,0.0015,0.0037
2395.6,0.0009,0.0016,0.0044
2402.1,0.0009,0.0014,0.0035
2408.5,0.001,0.0013,0.0029
2415,0.0013,0.0017,0.0036
2421.5,0.0014,0.0015,0.0034
2428,0.0014,0.0015,0.0031
2434.4,0.0015,0.0015,0.0033
2440.9,0.0018,0.0016,0.0033
2447.4,0.0019,0.0018,0.0035
2453.9,0.0018,0.0018,0.0038
2460.3,0.0016,0.0016,0.0036
2466.8,0.0019,0.0017,0.0062
2473.3,0.004,0.0021,0.0208
2479.7,0.0038,0.0021,0.0193
2486.2,0.0015,0.0018,0.0049
2492.7,0.0012,0.0017,0.0036
