frequency,x,y,z
0,0,0,0
6.4,0.0079,0.0071,0.0021
12.9,0.0079,0.0071,0.0021
19.4,0.0047,0.0033,0.0032
25.9,0.005,0.0036,0.0052
32.3,0.0066,0.0039,0.0054
38.8,0.01,0.0102,0.0053
45.3,0.0106,0.0131,0.0055
51.8,0.0125,0.0074,0.0067
58.2,0.0282,0.0123,0.0148
64.7,0.016,0.0077,0.0088
71.2,0.0135,0.0057,0.0026
77.7,0.0084,0.0079,0.0025
84.1,0.0045,0.0051,0.0022
90.6,0.0035,0.0052,0.0024
97.1,0.002,0.0053,0.0024
103.5,0.0021,0.0046,0.0037
110,0.0055,0.0071,0.0069
116.5,0.0241,0.0262,0.0183
123,0.0243,0.0261,0.0181
129.4,0.0072,0.0078,0.0058
135.9,0.0027,0.0035,0.003
142.4,0.0034,0.0036,0.0034
148.9,0.0041,0.0036,0.0026
155.3,0.0048,0.0042,0.0024
161.8,0.0039,0.003,0.002
168.3,0.0061,0.0029,0.0026
174.8,0.0108,0.0034,0.0032
181.2,0.0112,0.0031,0.003
187.7,0.0063,0.0036,0.0039
194.2,0.0047,0.0038,0.0044
200.6,0.0059,0.0044,0.005
207.1,0.0048,0.0052,0.0055
213.6,0.0028,0.005,0.0049
220.1,0.0027,0.0071,0.0048
226.5,0.0039,0.0107,0.0045
233,0.0057,0.0261,0.0051
239.5,0.0098,0.0489,0.0052
246,0.0122,0.0454,0.0037
252.4,0.0157,0.0331,0.0021
258.9,0.0182,0.0211,0.0027
265.4,0.0269,0.0272,0.0041
271.9,0.0276,0.0236,0.0045
278.3,0.015,0.016,0.0047
284.8,0.0139,0.0146,0.0057
291.3,0.0149,0.0116,0.0047
297.7,0.0142,0.0093,0.0034
304.2,0.0075,0.0075,0.0036
310.7,0.0085,0.008,0.0042
317.2,0.0056,0.0081,0.0047
323.6,0.0041,0.0074,0.005
330.1,0.0062,0.0094,0.0065
336.6,0.0079,0.01,0.0066
343.1,0.006,0.0067,0.0042
349.5,0.0027,0.0031,0.0018
356,0.0024,0.0024,0.0016
362.5,0.003,0.0026,0.0025
369,0.0038,0.0031,0.0032
375.4,0.0049,0.0042,0.0032
381.9,0.0051,0.0039,0.0031
388.4,0.0058,0.0038,0.0037
394.9,0.0076,0.0045,0.005
401.3,0.0085,0.0047,0.0053
407.8,0.0077,0.0041,0.0047
414.3,0.0049,0.0024,0.0026
420.7,0.0049,0.0014,0.002
427.2,0.0051,0.0011,0.0023
433.7,0.0037,0.0012,0.002
440.2,0.0023,0.0013,0.0018
446.6,0.0019,0.0011,0.0018
453.1,0.0016,0.0012,0.0026
459.6,0.002,0.0012,0.0032
466.1,0.0053,0.0019,0.0061
472.5,0.0066,0.0023,0.0078
479,0.0039,0.0013,0.0034
485.5,0.0026,0.0009,0.0023
492,0.0027,0.0007,0.0018
498.4,0.003,0.0008,0.0018
504.9,0.0025,0.0007,0.0014
511.4,0.0016,0.0007,0.001
517.8,0.0015,0.0005,0.001
524.3,0.0016,0.0006,0.0011
530.8,0.0013,0.0006,0.0011
537.3,0.0011,0.0006,0.0011
543.7,0.0011,0.0006,0.0012
550.2,0.0011,0.0006,0.0011
556.7,0.0012,0.0007,0.0018
563.2,0.002,0.0009,0.0026
569.6,0.0027,0.0007,0.0034
576.1,0.0025,0.0006,0.0028
582.6,0.0016,0.0006,0.0017
589.1,0.0011,0.0006,0.0019
595.5,0.0011,0.0006,0.0029
602,0.0014,0.0006,0.0031
608.5,0.0012,0.0006,0.0024
614.9,0.0009,0.0006,0.0027
621.4,0.0008,0.0006,0.0027
627.9,0.0008,0.0005,0.003
634.4,0.0009,0.0005,0.0039
640.8,0.0013,0.0006,0.0038
647.3,0.0011,0.0005,0.0027
653.8,0.0007,0.0005,0.0017
660.3,0.0007,0.0004,0.0018
666.7,0.0011,0.0005,0.0023
673.2,0.0011,0.0005,0.0024
679.7,0.001,0.0005,0.002
686.2,0.0011,0.0005,0.0019
692.6,0.0012,0.0005,0.0023
699.1,0.0013,0.0005,0.0022
705.6,0.0014,0.0005,0.0018
712,0.0013,0.0004,0.0019
718.5,0.0012,0.0004,0.0019
725,0.0012,0.0004,0.0016
731.5,0.0009,0.0004,0.0017
737.9,0.0011,0.0005,0.0028
744.4,0.0014,0.0006,0.0053
750.9,0.0019,0.0007,0.0068
757.4,0.0018,0.0006,0.0064
763.8,0.0015,0.0006,0.0048
770.3,0.0012,0.0005,0.0033
776.8,0.001,0.0004,0.0031
783.3,0.001,0.0005,0.0033
789.7,0.0009,0.0005,0.0033
796.2,0.0009,0.0006,0.0035
802.7,0.0009,0.0006,0.0041
809.1,0.0009,0.0007,0.0039
815.6,0.001,0.0008,0.0044
822.1,0.0011,0.0009,0.0064
828.6,0.0011,0.0009,0.0073
835,0.0011,0.0008,0.0069
841.5,0.0009,0.0008,0.0067
848,0.001,0.0007,0.0065
854.5,0.0011,0.0008,0.0067
860.9,0.0014,0.0009,0.0066
867.4,0.0017,0.0009,0.0071
873.9,0.0017,0.0008,0.006
880.4,0.0016,0.0008,0.0088
886.8,0.0012,0.0007,0.0087
893.3,0.001,0.0007,0.0035
899.8,0.0009,0.0008,0.0036
906.2,0.0008,0.0008,0.0034
912.7,0.0007,0.0007,0.0028
919.2,0.0006,0.0007,0.0028
925.7,0.0007,0.0008,0.0036
932.1,0.0011,0.0016,0.0084
938.6,0.0042,0.0062,0.0342
945.1,0.005,0.0074,0.0408
951.6,0.0017,0.0024,0.0132
958,0.0011,0.0008,0.0049
964.5,0.0011,0.0007,0.0055
971,0.0014,0.0007,0.0078
977.5,0.0014,0.0006,0.0083
983.9,0.0009,0.0006,0.0075
990.4,0.0007,0.0006,0.0083
996.9,0.0007,0.0007,0.0082
1003.3,0.0006,0.0007,0.0083
1009.8,0.0006,0.0006,0.0081
1016.3,0.0006,0.0006,0.0074
1022.8,0.0006,0.0007,0.0065
1029.2,0.0005,0.0009,0.0075
1035.7,0.0005,0.0011,0.0079
1042.2,0.0006,0.0012,0.0086
1048.7,0.0006,0.0019,0.0109
1055.1,0.0017,0.0047,0.0279
1061.6,0.0016,0.0042,0.025
1068.1,0.0007,0.0015,0.0122
1074.6,0.0009,0.0009,0.0107
1081,0.0009,0.0009,0.0119
1087.5,0.0006,0.0007,0.0104
1094,0.0007,0.0007,0.016
1100.4,0.0007,0.0007,0.015
1106.9,0.0006,0.0006,0.0114
1113.4,0.0006,0.0006,0.0154
1119.9,0.0007,0.0006,0.021
1126.3,0.0007,0.0006,0.0189
1132.8,0.0007,0.0006,0.0218
1139.3,0.0009,0.0009,0.0341
1145.8,0.0011,0.0009,0.0348
1152.2,0.0013,0.0009,0.0412
1158.7,0.0015,0.0011,0.05
1165.2,0.0017,0.0012,0.057
1171.7,0.0038,0.002,0.1013
1178.1,0.0054,0.0022,0.1191
1184.6,0.0044,0.0023,0.1075
1191.1,0.0036,0.0022,0.0923
1197.6,0.003,0.0017,0.0751
1204,0.0025,0.0014,0.0597
1210.5,0.0024,0.0013,0.0554
1217,0.0025,0.0013,0.0561
1223.4,0.0027,0.0014,0.0581
1229.9,0.0029,0.0014,0.058
1236.4,0.0026,0.0012,0.0547
1242.9,0.0022,0.001,0.0433
1249.3,0.0015,0.0007,0.0283
1255.8,0.0014,0.0007,0.0269
1262.3,0.0014,0.0005,0.0201
1268.8,0.0013,0.0005,0.0185
1275.2,0.0016,0.0005,0.0187
1281.7,0.0021,0.0005,0.018
1288.2,0.0053,0.0005,0.0227
1294.7,0.0211,0.001,0.0598
1301.1,0.024,0.0011,0.0665
1307.6,0.0071,0.0006,0.025
1314.1,0.002,0.0006,0.0179
1320.5,0.0015,0.0005,0.0148
1327,0.0014,0.0005,0.0123
1333.5,0.0012,0.0005,0.0129
1340,0.001,0.0006,0.013
1346.4,0.0011,0.0006,0.0145
