frequency,x,y,z
1352.9,0.0023,0.0007,0.0293
1359.4,0.0028,0.0009,0.0325
1365.9,0.0016,0.0007,0.0186
1372.3,0.0013,0.0007,0.0166
1378.8,0.001,0.0007,0.0148
1385.3,0.0008,0.0007,0.0117
1391.8,0.0009,0.0006,0.0107
1398.2,0.0007,0.0006,0.008
1404.7,0.0005,0.0007,0.0089
1411.2,0.001,0.0015,0.0218
1417.6,0.0011,0.0013,0.0201
1424.1,0.0007,0.0007,0.0091
1430.6,0.0005,0.0006,0.0062
1437.1,0.0007,0.0006,0.0061
1443.5,0.0007,0.0006,0.0053
1450,0.0006,0.0006,0.0059
1456.5,0.0007,0.0005,0.0057
1463,0.0006,0.0005,0.0055
1469.4,0.0007,0.0005,0.0068
1475.9,0.001,0.0005,0.0076
1482.4,0.0011,0.0005,0.0066
1488.9,0.0009,0.0005,0.0065
1495.3,0.0011,0.0006,0.0075
1501.8,0.0013,0.0006,0.0085
1508.3,0.0011,0.0005,0.0076
1514.7,0.001,0.0005,0.0069
1521.2,0.0008,0.0005,0.006
1527.7,0.0007,0.0004,0.0058
1534.2,0.0012,0.0005,0.0136
1540.6,0.0014,0.0005,0.0149
1547.1,0.0008,0.0005,0.0085
1553.6,0.0007,0.0005,0.0077
1560.1,0.0007,0.0005,0.0073
1566.5,0.0006,0.0006,0.0074
1573,0.0008,0.0005,0.0077
1579.5,0.0007,0.0004,0.0065
1586,0.0006,0.0005,0.0054
1592.4,0.0007,0.0004,0.0056
1598.9,0.0007,0.0004,0.0049
1605.4,0.0006,0.0004,0.0042
1611.8,0.0006,0.0004,0.0043
1618.3,0.0005,0.0004,0.004
1624.8,0.0004,0.0004,0.0041
1631.3,0.0004,0.0004,0.0038
1637.7,0.0005,0.0004,0.0045
1644.2,0.0006,0.0004,0.0052
1650.7,0.0008,0.0004,0.0062
1657.2,0.0007,0.0004,0.0063
1663.6,0.0006,0.0004,0.0061
1670.1,0.0005,0.0004,0.0057
1676.6,0.0006,0.0003,0.0057
1683.1,0.0006,0.0004,0.0064
1689.5,0.0008,0.0004,0.0073
1696,0.0008,0.0004,0.0069
1702.5,0.0008,0.0004,0.007
1708.9,0.0009,0.0004,0.0063
1715.4,0.0009,0.0003,0.0063
1721.9,0.0008,0.0003,0.0066
1728.4,0.0008,0.0004,0.0065
1734.8,0.001,0.0004,0.0057
1741.3,0.0013,0.0004,0.0057
1747.8,0.0012,0.0004,0.006
1754.3,0.001,0.0004,0.005
1760.7,0.0011,0.0004,0.0045
1767.2,0.0015,0.0004,0.0064
1773.7,0.0015,0.0005,0.0064
1780.2,0.0013,0.0005,0.006
1786.6,0.0011,0.0005,0.0056
1793.1,0.0013,0.0005,0.007
1799.6,0.0016,0.0006,0.0079
1806,0.0015,0.0006,0.0074
1812.5,0.0012,0.0005,0.006
1819,0.0013,0.0005,0.0054
1825.5,0.0014,0.0006,0.0061
1831.9,0.0013,0.0005,0.0075
1838.4,0.0014,0.0005,0.0085
1844.9,0.0015,0.0006,0.0083
1851.4,0.0014,0.0005,0.007
1857.8,0.0013,0.0006,0.007
1864.3,0.0012,0.0006,0.0061
1870.8,0.0012,0.0006,0.0054
1877.3,0.0018,0.0008,0.0062
1883.7,0.0031,0.0013,0.0071
1890.2,0.0024,0.0011,0.0079
1896.7,0.0014,0.0007,0.0067
1903.1,0.0011,0.0006,0.0055
1909.6,0.0009,0.0005,0.006
1916.1,0.0008,0.0005,0.0058
1922.6,0.001,0.0006,0.0058
1929,0.0009,0.0005,0.0068
1935.5,0.0008,0.0006,0.0087
1942,0.0011,0.0005,0.0087
1948.5,0.001,0.0005,0.0098
1954.9,0.001,0.0005,0.0106
1961.4,0.0011,0.0005,0.0109
1967.9,0.0011,0.0006,0.0128
1974.4,0.0011,0.0005,0.0131
1980.8,0.0013,0.0006,0.0139
1987.3,0.0016,0.0007,0.0159
1993.8,0.0016,0.0007,0.0161
2000.3,0.0014,0.0007,0.0143
2006.7,0.0018,0.001,0.0185
2013.2,0.002,0.0011,0.0197
2019.7,0.0024,0.0013,0.0224
2026.1,0.0023,0.0014,0.0226
2032.6,0.0019,0.0013,0.0186
2039.1,0.0023,0.0014,0.0191
2045.6,0.0021,0.0013,0.0163
2052,0.0017,0.0012,0.0131
2058.5,0.0014,0.001,0.0105
2065,0.0014,0.0011,0.0108
2071.5,0.0013,0.0011,0.0098
2077.9,0.0014,0.0011,0.0092
2084.4,0.0012,0.001,0.0075
2090.9,0.0008,0.0008,0.0056
2097.4,0.001,0.0008,0.0051
2103.8,0.0011,0.0008,0.0056
2110.3,0.001,0.0008,0.006
2116.8,0.001,0.0008,0.006
2123.2,0.0009,0.0006,0.0058
2129.7,0.0009,0.0008,0.006
2136.2,0.0009,0.0009,0.0064
2142.7,0.0009,0.0009,0.0068
2149.1,0.0007,0.0008,0.0055
2155.6,0.0006,0.0007,0.0052
2162.1,0.0006,0.0007,0.0049
2168.6,0.0006,0.0008,0.005
2175,0.0005,0.0008,0.0049
2181.5,0.0006,0.0008,0.0048
2188,0.0006,0.0008,0.0052
2194.5,0.0005,0.0008,0.005
2200.9,0.0005,0.0007,0.0046
2207.4,0.0005,0.0009,0.005
2213.9,0.0005,0.0009,0.005
2220.3,0.0006,0.0011,0.0057
2226.8,0.0008,0.0011,0.0058
2233.3,0.0018,0.001,0.0086
2239.8,0.0015,0.0009,0.0077
2246.2,0.0007,0.0009,0.0051
2252.7,0.0007,0.0009,0.0044
2259.2,0.0007,0.0009,0.0039
2265.7,0.0007,0.0009,0.0043
2272.1,0.0007,0.0008,0.0045
2278.6,0.0007,0.0009,0.0043
2285.1,0.0006,0.0009,0.0042
2291.6,0.0006,0.0009,0.0041
2298,0.0007,0.0008,0.004
2304.5,0.0007,0.0008,0.0039
2311,0.0006,0.0008,0.0031
2317.4,0.0006,0.0009,0.0036
2323.9,0.0007,0.0008,0.0035
2330.4,0.0006,0.0009,0.004
2336.9,0.0007,0.001,0.0038
2343.3,0.001,0.0013,0.0053
2349.8,0.0043,0.0018,0.0202
2356.3,0.0079,0.0022,0.0369
2362.8,0.0041,0.0016,0.0203
2369.2,0.0009,0.0015,0.0054
2375.7,0.0008,0.0015,0.0051
2382.2,0.0008,0.0015,0.0046
2388.7,0.0008,0.0015,0.0043
2395.1,0.0009,0.0014,0.0033
2401.6,0.0011,0.0015,0.0034
2408.1,0.0012,0.0018,0.0037
2414.5,0.0013,0.0015,0.0034
2421,0.0014,0.0016,0.0034
2427.5,0.0015,0.0014,0.003
2434,0.0016,0.0016,0.0034
2440.4,0.0018,0.0018,0.0035
2446.9,0.0021,0.002,0.0036
2453.4,0.0017,0.0016,0.0031
2459.9,0.0015,0.0016,0.0034
2466.3,0.002,0.0019,0.0056
2472.8,0.0041,0.0024,0.0201
2479.3,0.0041,0.0023,0.0203
2485.8,0.0018,0.0021,0.0062
2492.2,0.0013,0.0018,0.004
